,title,company,rating,CITY,state,salary_year_mean
449,Data Scientist I Boulder,Sovrn Holdings,3.1,Boulder,CO,
450,"Data Scientist, Search",Upwork,4.0,Remote,REMOTE,
451,Senior Data Scientist,Splunk,4.2,Austin,TX,
452,Data Scientist,EA Langenfeld & Associates,,Mount Prospect,IL,90000.0
453,Data Science Intern,Global Payments,3.4,Atlanta,GA,
454,Senior Data Scientist,Open Soft Software Systems,,Remote,REMOTE,125000.0
455,Data Science Intern,Root Insurance Company,3.7,Remote,REMOTE,
456,Data Scientist,AutoZone,3.5,Elk Grove,CA,
457,Data Scientist,Affinity Solutions,2.7,New York,NY,
458,Data Scientist,TruU,,Colorado,CO,
459,Data Scientist (Remote),Madison Reed,3.1,San Francisco,CA,
460,Data Scientist,"Two Sigma Investments, LLC.",3.8,New York,NY,
461,Data Scientist,Silent Eight,,New York,NY,
462,Data Scientist I,Guardian Research Network,5.0,Remote,REMOTE,
463,Data Scientist II,Cox Automotive,3.4,Atlanta,GA,
464,Senior Data Scientist,competitive balance analytics,,California,CA,125000.0
465,Cloud Data Services Associate,PwC,4.0,San Antonio,TX,
466,REMOTE Safety Data Scientist II,Raland Compliance Partners,,Remote,REMOTE,141375.0
467,Associate Data Scientist,PACCAR,3.6,Renton,WA,
468,Data Scientist,J.Crew,3.8,New York,NY,
469,Data Scientist,Presage Security,,Reston,VA,
470,Data Science Analyst - DART Program,Lithia Home Office,,Medford,OR,
471,Data Scientist,Microcred,,New York,NY,
472,Sr. Business Data Analyst,Tout Consulting,,Remote,REMOTE,126750.0
473,"Econometric Data Scientist, International",Warner Music Group,4.1,New York,NY,
474,Data Scientist Interrn,Verizon Media,3.7,Dulles,VA,
475,"Data Scientist, Sensor Analytics",Xerox,3.4,Palo Alto,CA,
476,Data Scientist,Sharecare Inc,3.4,New York,NY,
477,"Mental Health Data Analyst (City Research Scientist L I), Co...",NYC Health + Hospitals,3.8,New York,NY,
478,Staff Data Scientist,"Alteryx, Inc.",4.0,Irvine,CA,
479,Data Scientist: Investment Research,"Two Sigma Investments, LLC.",3.8,New York,NY,
480,SR Data Scientist,Surya Systems,,San Francisco,CA,
481,Research Data Scientist,Facebook,4.2,Menlo Park,CA,
